message,fakeorreal
yeah hot air neophyte wind claim everyone else need change line thinking,real
yes major factor much solar radiation gain lose fragile balance get screwed man vp,real
always extremes always cycle earth go happen long fossil fuel use think native american indian blame climate shift people use much flint make arrow head,real
i'm best help global warm eat many cow smilies biggrin gif big grin,real
ly believe billion people make significant difference climate planet compare trillion life form planet take place slightly total surface area planet turn constantly bombard energy sun get,real
get joke vp,real
seem funny naysayer vocal guess people convince anything convenient suit vp,real
kid right polar bear population rise homeless anywhere close homeless expand glacier continue grow global warming,real
ize statement apply side issue right,real
yes anount release last century astronomical vp vp,real
let's throw number problem ncodeimage resize http upload wikimedia org wikipedia common thumb mauna loa carbon dioxide en svg mauna loa carbon dioxide en svg png onload ncodeimageresizer createon present level jump roughly part per million ppm ly believe small percentage change one least efficient greenhouse gas brings warm see,real
could say argument well,real
seem mostly one reply thread naysayer seem agenda vp,real
get information vp,real
ly know gw trust source report condition planet,real
"correct agenda know right wrong smilies biggrin gif big grin btw thread,you merely begin discussion",real
aready say believe create man ity few few people belive every year people believe change trend move towards natural occurance man make large portion also believe government make big deal ly one large tornado history year later city crush massive blizzard fossil fuel cycle planet,real
point exactly btw dont earth either own grave vp,real
nahhh i've make arrangement cremains scatter moon ever one grandchild visit smilies wink gif wink,real
rev back,real
make mistake earth,real
scary idea people ly arrogant selfish self serve ly un nerve see state planet get bad kind mentality vp,real
certainly free abrogate responsibility share mass prefer keep mine pardon insect kill,real
could give rc model think energy consume thread ask opinion even though mind apparently set subject true green choice would never waste energy nonessential activity,real
,real
dispute sea level rise pole melt proof global warming,real
edge sea like last year lie people want money dispute,real
man make naturally occuring formation man make whats ft sea mankind thru shortsightedness create global warming scenario year ago,real
total single volcanic eruption produce carbon dioxide could produce year,real
rofl,real
psst sea level rise thingy debunk go make sea level rise ice already sea here's experiment fill glass ice water wait ice melt see glass overfills love polar bear daddy commercial,real
actually see study show sea level rise rate last year,real
people dumb they'll dispute sky blue sunny cloudless clear day earth like who's tell i've give argue ignoratti drop dead obvious hundred time reproduce every direction till sunday science foxaganda tell climate fine they'll happily boil away like frog pot i'll conserve change vote conscience money campaign koch brother best fool wreck place figure kid smarter kid stand good chance survive shawn,real
umm see conveniently ignore,real
yeah course pole melt spring winter they'll freeze warmists explain extra water go come raise sea level,real
expert subject polar bear boom triple number since global warm believer lie public story look cute make nice poster polar bear thrive increase number http nationalpost news story html target blank http nationalpost news sto http newsbusters org node target blank http newsbusters org node,real
couple continent nearly half mile deep snow ice layer greenland record level summer melting,real
global warm bogosity thought vote door garden like dark come cat like dark mouse skitter garden cat attack sun rise cat slumber carbon credit exist al gore global cooling little ice age maunder minimum england archaeologist discover pre historical village foot surface english channel el jimbo living side hill beach tarsus turkey thrive roman seaport couple mile med surf global warming allege science bogus,real
didnt start thread form opinion try green much possible last year trade gas guzzling dodge van ford transit connect go mpg mpg vp,real
btw whole hemishere go winter water raise sea level come melt artic antarctic vp,real
quote last paragraph link course track polar bear population inexact science roam lend double count they're easy identify distance besides polar bear live ice satellite photo show sea ice last decade something happen national post anyways vp,real
though get one replace age gas guzzler go instead go figure huh,real
actually wrong antarctica contains vast majority frozen water earth umm source suppose believe someone back claim go back claim ly want smilies smile gif smilie,real
hipocrisy would greener continue drive original car buy another car,real
wont frozen long vp http washingtonpost wp dyn article html target blank http washingtonpost wp dyn html,real
rationalize irrational statememt like burn time less fuel vp,real
big picture one consider energy require design produce deliver new vehicle break news proof global warming uncover,real
course date long bad record point obvious big tornado sign global warming happen every anyway,real
believe global warm believe group track polar bear global warm definition unexact science let say polar bear counter perecentage point heck even population increase since lacals say polar bear thrive year facts support claim polar bear remember picture bear melt ice al gore others use pic describe polar bear die global warming know photagrapher come clean say lie bear close shore danger http telegraph co uk comment columnist christopherbooker polar bear expert bar global warmists html target blank http telegraph co uk comment warmists html,real
oh keep gas guzzler save energy ridiculous vp,real
umm see earlier showpost postcount target blank see increase sure though,real
become tiring wonder planet mess majority habitant dont seem care would like give thanks brave silent minority vp meek shall inherit earth destroy,real
minority,real
yeah say disputing say effect sure they'll dispute argue miss something shawn,real
yes sarcastic dispute claim next ton evidence fact antarctic ice melt,real
sarcasm travel well smilies smile gif smilie shawn,real
think global warm bunch propoganda pile crap mean care simply make change life choose group agenda tell recycle buy energy efficient item put new window house save energy primarily thing save money cut amount trash go land fill,real
edit wonder fast someone would correct gloat fast reprimander vp,real
well thats good inadvertantly help global warm issue cheap vp,real
take pride demolish people train think,real
see may hit reply go get snack next show argue smilies wink gif wink might look evidence north polar sea ice extent web site http arctic atmos uiuc edu cryosphere image sea ice anomaly timeseries jpg target blank http arctic atmos uiuc edu cryosph timeseries jpg addition ample data show despite south pole sea ice area remain ice antarctica thin site http nasa gov topic earth feature antarctica melt html target blank http nasa gov topic earth fea melt html gravity data collect space use nasa's grace satellite show antarctica lose hundred cubic kilometer cubic mile ice year since shawn,real
voted sure since though believe case unable assert testable notion manmade cause opponent assert factually,real
nasa trouble measure ice shuttle external tank foot,real
gravity data,real
way calve ice berg sign grow glacier,real
train think envy vp,real
read article,real
ford supercab pay tow boat haul lb need git around car honda passport also pay haul three big methane produce dog good gas mileage drive much spend time home i'm retire btw home pay completely debt free hard way one nickel time whenever see someone's statement start suspect someone sneak wallet whenever hear phrase go green visualize either demented zombie fresh marine corp recruit stand paint yellow footprint first pay debt close credit card save rainy day example stir pot le read bible mi quote matthew http topical bible study org htm target blank http topical bible study org htm http christianlibrary org author grady scott htm target blank http christianlibrary org auth tt htm,real
i'd like acknowledge smallish group include may lean one way chose sure rest smug,real
year ago drought cover part africa asia europe drought last year cause nile almost dry ancient egypt effect tell part story global climatologist say earth warm burn fossil fuel know nothing recently must hard pharaoh give suv temple ac,real
i'm smug i've read many article year i'm convince think someone opinion one way another they'd pretty stupid shawn,real
cannot make claim without evidence emission level dodge van among factor whether year model old enough minimal pollution control equipment could faulty well burn oil also depend whether life high population area environmental choice black white instance whether use cloth diaper disposable often dependent live due factor negative effect,real
go answer yes poll caveat one part issue atlanta heat wave one weather feature difficult find set record high low temperature date happen recently able find statistics random mention create huge heat island contribute actually change weather video radar show line storm actually split reconnected pass metro area three significant snowfall first year live house snow christmas first time record get several year drought wash car home tornado season record set south significant scientifically exception heat island particularly character event might happen intensity period decade tornados know tornado area ly new pattern continue new pattern rather every five six decade number intensity would consider significant feature fact complex issue sequester carbon release manmade issue special interest address concern scientist global warm continue afraid obviously change weather point beyond fix attempt prevent trigger tip point massive release carbon sequester area,real
smilies smile gif smilie um thanks think yea im first brave soul voted havnt clue one way i'd also like see data whole industry selling solution yet prove problem become politically entrenched never get rid em oh also rest arent smug theyve get opinion theyve form info havnt see smoke gun info position either way im keepin option open smilies cool gif cool,real
enough info tell ity matter thing happen specie overpopulate environment happen human unfortunatly earth probably support billion subsistance level climatic event metoer asteroid sunspot significantly cull population,real
see model swimsuit hear consist three dab paint,real
voted sure think impact short time we've exist think ly matter earth possibly impact long last specie long run we're nothing pimple earth's as one good massive phenomenon like chain volcanic eruption giant meteor strike like we're history,real
seven billion people fit state texas thirty foot thirty foot plot land population problem world proximity problem think small know thing bacteria virus likely candidate cause demise human population,real
smilies eek gif eek think may right one every year seem outbreak nasty little germs world like ecoli thats sicken people germany right far seem keep beating back germs one time bugs get ahead we'll wishin something minor global warming smilies eek gif eek,real
lol vp cannot serious,real
,real
joan baez always give creep shawn,real
water already part note water become less dense neat trick addition land borne ice melt http physchem kfunigraz ac sm service water htm target blank http physchem kfunigraz ac sm er htm,real
yr old ranger get mpg life extend recycle motor tranny modern line replacement many yr would would take offset creation efficiency current vehicle many yrs fuel saving pay wrench eco nazis get way get fuel price freaken high force everyone electric peddle bus motor use common sense get another junkyard prius oh thank mr prez gov motor union bailout clunker program technically waste resource cause even emission ya dimwit,real
good point vp,real
cause global warm burn fossil fuel release sequester contributes global warm mankind burn fossil fuel global warming cause mankind tell logical reason deny car burn fossil fuel electricity generate burn fossil fuel product manufacture transported burning fossil fuel global warming cause make feel guilty feeling guilty vote,real
inconvenient truth http en wikipedia org wiki inconvenient truth target blank http en wikipedia org wiki inconvenient truth vp ps havent even see movie yet become aware greenhouse effect read national geographic,real
inconvenient long list if's even every one correct value place amount change cause fossil fuel billionth degree temp change degree operate assumption human feel guilty microscopic impact existence rock space steve,real
movie prove factually wrong many area propoganda documentary,real
take huge leap logic recently declare greenhouse gas human activity create mean create global warming might possibly contribute way many thing could create affect nothing human thing much large impact climate,real
greenhous gas breathe cause global warm anyone serious stop global warm stop breathing least learn exhale less take,real
go outside legal smoke saw satan suckin popsicle,real
plant inhale exhale oxygen increase cause increase consumes,real
sure allow plant thrive high altitude,real
kinda point comment much earlier thread trillion life form lil mud ball trillion tree blade grass corn stalk marijuana plant etc etc etc breathin rate fast produce global warming manmade,real
i'm retire meteorologist extensive background climatology i'm date late research try least keep semblance currency i'm see yes climate warm yes contribute warm extent man make affect warm still unclear several know factor work amongst solar constant show inconstant may get insolation solar input century ago greenhouse gas quantity change atmosphere still know great certainty scientific community still know factor could work day saw discovery mesoscale convective complex actually vital factor redistribute solar energy previously they'd thought noise level factor may correct mankind blame hand may well another factor combination factor could cause whatever though deeply suspicious leader want jump follow extensive cure ly know they'll work agree conservation good lot thing petroleum could use fuel i'm convince production combustion key cd,real
form opinion see vp,real
watch opn mind drink kool aid link error al gore's movie never hear documentary many thing wrong blatant mistake others intentioanally mean mislead others simply stupid make fact http scienceandpublicpolicy org monckton goreerrors html target blank http scienceandpublicpolicy org mo oreerrors html,real
yeah park sun still,real
link discussion number error inconvenient truth everyone agree,real
global breathing tax rich folk make minimum wage cover breathe tax breath life tax,real
park sun smilies wink gif wink,real
sure exhale fart get morning,real
apparently green push aussie slaughter heck lot camel sacrifice dark lord green masquerade evolve light bringer serve always wind extol limitation bondage deprivation transfer power elites soft tyranny reduction number human,real
carbon dioxider methanizer smilies eek gif eek fart usually starter smilies biggrin gif big grin,real
knife blade exceed inch,real
,real
anyone pay attention last decade know exactly possibility smilies rolleyes gif roll eye sarcastic,real
also possibilities moon landing hoax bush order attack world trade center holocaust happen sensible person would consider wacky idea likely,real
oh course smilies rolleyes gif roll eye sarcastic heaven know scientific community reach consensus declare issue settle regularity,real
every scientist say earth warm mankind there's another one say that's hogwash one thing certain debate science clear,real
blame climate change election year unneeded campaign talk smilies biggrin gif big grin,real
yes correct science settle lot thing course mean research finish area there's always learn scare quote around scientific think,real
difference day make remember louisiana flooding kind extreme swing least storm tornado,real
evidence assertion get idea news medium i'm sorry say http en wikipedia org wiki scientific opinion climate change target blank misinform,real
byproduct global warming cause sun solar max cycle anyone actually prove global warming they've change climate change best world,real
ignore nothing do anyway killer population growth finite resource yet i've see post think smart people say problem go forth multiply right wrong use grow grape england long ago history go weather shift ly mess fly kid buy harbor fright windmill power house think work,real
far tell people know talk problem idea climate change knowledgable people understand always case science i'm begin see prediction weather change certain way certain place next number year kinds specific prediction suggest two thing first information modeling progress point prediction make secondly specific prediction make easy see false correct model information conform ity think climate change considerable human consequence probably human driven make difference whether nothing substantive do mitigate climate change may fact late anything tip point past rather future best one inform one manage try plan maneuver way profit ever happen,real
would err judge naysayer forum general public think climate change also even state preference probably without knowledge necessary try mitigate repercussion attempt change dynamic blame add issue point departure old industrial revolution dynamic become detrimental economy many direction kind future depend make decision plan future make great profit delay change go stop every year every month gain change current way exist base ities availability cheap labor disregard environment whether do abroad name order serve need course cheap resource past become valuable drive desire roadblock toss front remarkable consider innovation come america old industrial revolution would present someone forum form article europeans last industrial revolution cling past protectionist motivation time either depart move ahead new direction problem resource financially get work change cheap energy clean renewable energy ly miss boat know viable solution exception sort safer small nuke seem much front burner basically technology expertise due use navy question fund change new path take lead roll new industrial revolution longer maintain current model bad thing get course yin yang everything long recession people learn live frugally use less energy even resort actually one full time parent home bring positive result austerity economy use much less fossil fuel folk look economize reset thermostat create entertainment even perhaps take long view support oppressive regime overseas supply throw away item waste resource trade damage environment dollar return get waste throw away consumer item almost everything hit denominator low price marginal quality design need replace short term tax resource build package ship stock sell use toss repeat could become involved children's live ly take responsibility education need give lot problem solve hopefully prepare solve problem inherit,real
people learn live frugally bless learn something grandparent live depression learn much less put skill tool acquire use fix everything instead replace internet knowledge everything learn something new make year learn cure olive make insulation blower well rent one long term buy one get kid,real
folk think human harm planet could always set example true green spirit eliminate factor noble sacrifice could make name planet,real
become sufficiently green sum activity positive effect that's mean right want anybody misconstrue phrase eliminate noble sacrifice mean advocate suicide smilies eek gif eek,real
confuse didnt vote vp,real
bruce master inscrutability often mirror mode get weird post day award,real
come cru exactly think,real
many others vp,real
page time take turkey oven declare victory win sorry move move,real
ncodeimage resize http woody typepad file greenhouse gas atmosphere jpg onload ncodeimageresizer createon ncodeimage resize http woody typepad file atmospheric source jpg onload ncodeimageresizer createon,real
prediction say katrina global warming expect big hurricane norm global warm accurate calm land make hurricane year since katrina drop almost nothing great modeling prediction,real
"quote want anybody misconstrue phrase eliminate noble sacrifice mean advocate suicide he's short sight nonsense coal power electricity producer take plant line due zero epa agenda job increase electricty cost sure follow exactly obama promised neat export coal up,as country planet control short sight agenda driven fool",real
win medal unistic assume congratulation vp,real
need research subject coal plant texas claim expertise change happen obama internal political issue epa issue,real
ain't truth suspect lot people get information climate change hearing fabricate debate legitimacy medium general feel obligation present side debate controversy increase rating sell advertisement medium government pocket fossil fuel industry always deny result public see appear two sided debate science respect side respect data shawn,real
except see atmospheric concentration increase since early graph thread easily google also small impact significant despite obfuscation shawn,real
sure notice global warming consider fact almost new source public doubt legitimacy global warm huge one side push ridiculous regulation human activity,real
medium take roll stooge present two side debate interviewer rather person sits listens would prepare interview point inconsistency bring debate either side sadly either miss case medium actually add misinformation go hand hand position advocacy issue decision eliminate investigative journalism profit nature news show today compare tv news cable,real
fair description ridiculous regulation present lot propaganda well would difficult exaggeration abound side,real
data support opinion shawn,real
big percentage wise greenhouse gas water vapor minimal largly release ocean warm warm trend primarily due sun,real
global warming induce vicious cycle cant believe humid summer vp,real
actually say sun warms earth smilies confuse gif confuse radical think next thing try tell earth sphere sort flat surface smilies eek gif eek,real
also heat internally radioactive activity vp,real
ly matter global warming cause burn gas etc main worry pollution air thin ozone layer pretty clear see even ignore take scientist able understand simple law use energy wastefully yes even green energy harmful,real
call something progressives comfortable late term abortion save life mother gaia,real
read many year ago amount oxygen air would expect year photosynthesis respiration production obviously case sort imbalance period time plant need minimum concentration able photosynthesize always need atmosphere concentration increase several possible reason combination reason amount photosynthesis decrease amount add great plant absorb consider deforestation agriculture desertification pollution lakes river ocean may well amount photosynthesis decrease contrary idea photosynthesis global scale increase increase level,real
that's interest jim,real
argument ignorance cannot know insignificant compare water vapor sun blah blah big number find effect require lot measurement experimentation calculation model etc order develop proper understanding mechanism involve iow science luckily spend lifetime try actual scientist work armchair scientist try draw conclusion base number graph find internet guarantee get wrong,real
believe time whole global warm issue fade away people see effect even man contribute general warm trend climate believe rise enough even cause problem future inhibit technological progress mankind solve global warm understanding universe expand exponential rate technology advance perhaps year gas coal natural gas wind technology outdated unused nuclear fusion solar power hydrogen fuel cell power world shame resource waste issue think project resource onto significant thing explore solar system try fix problem may even ly know yet,real
well say,real
long term goal sure right point time bright move way go yrs climate least worry problem social engineer cant see big picture agenda get way,real
plan profit seem operative word many billion make cash whole issue plan keep money tree thrive,real
many research scientist pay much might think far green manufacture drop bucket compare big fossil fuel operation ly big stake,real
word,real
scientist pretend one must confuse rumrunner post couple pie chart wrongly conclude cannot significantly affect climate,real
quote originally post strong pilotkeeg strong believe time whole global warm issue fade away people see effect even man contribute general warm trend climate believe rise enough even cause problem future believe want make issue go away global warm continue already cause problem http climate nasa gov effect target blank fact quote inhibit technological progress mankind solve global warming agree need technological progress solve many problem face need luddite refuse accept new technology greenies believe get back nature whole answer ostrich think stick head sand make go away quote shame resource waste issue think project resource onto significant thing explore solar system always shame resource waste explore solar system merit bush want waste resource put men space whereas scientist want unmanned probe give exploratory bang buck scientist also want something global warm various grand scheme propose might fix problem eg hang giant umbrella space seed ocean iron solution tend expensive extremely wasteful successful research need commit vast resource big fix solution scientist accept can't stop use fossil fuel overnight know green tech need efficient cost effective also know nothing bad option long run would far wasteful solution quote try fix problem may even ly know yet procrastinator's philosophy smilies frown gif frown fossil fuel effectively run anyway eventually become expensive extract happen matter global warm point move technology much less painful make transition smoothly rather wait crisis point start something please note agree government inject massive amount tax money think big alternative energy solution nuclear reactor hydrogen economy state own electric car factory role limit provide advice level play field eg stop give tax break fossil fuel nuclear industry sensible legislation remove barrier deployment green technology,real
bury head sand vp,real
scientist wrongly conclude,real
hmmm yet much end piss match poll plainly people think people think read show right guy go i'm right like kind competition either one team fer gawd sake people good grace listen accept others viewpoint ya,real
voice reason vp,real
reason make sense hardly reason one listen accept others viewpoint allow express viewpoint wonder,real
decision vp,real
decision even know talk,real
think call troll,real
one understand big fusion furnace remarkably stable heat source thermal output also remarkably stable since we're well what's know solar minimum cycle extent meager difference output extra heat come also must agree get warm take tack science number behind sun's output support point,real
seem extreme comical even burn torch olympics create much global warm carbon global warming panic inducer olympic torch low carbon,real
exactly point salty smilies rolleyes gif roll eye sarcastic listen guy think see anything useful say add store knowledge help modify extend opinion express exactly someone's right one side get throw around smilies mad gif mad many amateur armchair scientist know anyone else answer intend jam everyone else's throat guy get conception discussion smilies frown gif frown,real
yes know talk make decision vp,real
lot small change may make difference vp,real
excellent article volcano climate volcano cool effect climate unless many many basaltic flood ly long time ago mention human production much much great volcanic activity account anyone care easy distinguish volcanic carbon fossil fuel relate carbon distinguishable isotope armchair scientist,real
interest thanks link morning science channel watch earth erupts vp sofa scientist ben franklin man,real
armchair scientist sofa scientist ok guy slap come way,real
okay desktop scientist also http environment nationalgeographic environment global warming target blank http environment nationalgeographi lobal warm google useful tool use appropriately vp,real
take quiz see fact vp,real
poverty big contributer pollution worry pollution struggle fee family green crusade ignore sector civilization instead crusifying industry power heighten state existence today,real
illogical poor even en masse cannot afford fuel make carbon emission scale industrial society talk third world poor best poor planet describe ltup poor,real
especially use almost much energy rest world country add together smilies frown gif frown china increase rapidly http nationmaster graph ene pri ene con mil ton oil equ consumption million tonne oil equivalent target blank http nationmaster graph en oil equivalent,real
almost nothing still almost nothing,real
like guy's tone he's pretty good stick lesson plan,real
could say science number behind point mankind responsible global warming well possibly maybe contribute small way near fully responsibile travel extensively around world year i've make observation still continue snow area always snow continue hot area always hot thru year minor difference climate time time overall thing stay less odd year ago global cooling rage climatoligists claim head towards new ice age long we'd see massive exodus move south escape new glacier thing reverse forgive seem somewhat skeptical mankind rol play,real
like science present good graphical work make easy visualize one interesting well,real
insurance industry look count cost pentagon note paragraph foreshadow recent event mid east personally believe rebellion much high cost foodstuff owe poor harvest northern hemisphere last year political dissatisfaction,real
one general prediction extreme weather event become common saw weather channel back increase rate new local weather record majority warmer record prediction look pretty good,real
kind tree kill bug pine barren use freeze winter range get sustain cold use kill,real
read time ago another source though forget ratio new high new low increase say good deal certainty get warmer much warm get big question yeah,real
rocket scientist fact i've call fxxxxxx rocket scientist,real
one link talk increase lyme disease malaria change mind heat island loss tree atlanta see video look temperature change know thing exist effect local weather observe weather radar relate global warming raise temp city delay cool effect even store heat explain increase drought hot spell earlier spring short spring fall long summer record high low temperature outside metro area,real
warm side warm warm argument support vast truly vast amount data warm side political effort feel effort warm side valid make xxx decision regard climate change sure that's valid denying fact climate change support data worthy equal time scientific standpoint shawn,real
bummer something similar disease ravaging forest year use come go affect limited area endemic throughout colorado smilies frown gif frown shawn,real
look endemic,real
find,real
still think peculiar arrogant spiteful argumentative rude rebellious response seem come naysayer camp seem careful thoughtful objective response coincidience vp,real
rotflmao good one,real
quote originally post strong vp strong still think peculiar arrogant spiteful argumentative rude rebellious response seem come naysayer camp seem careful thoughtful objective response coincidience vp that's belief political faith base good combination come logical discussion,real
see,real
far hard human suck cause global warm religion mostly base faith unproven idea guilt modernity wonder illogical notice much calmer sceptic basically say need little science jump conclusion cause recent minor uptick temperature steve,real
helps sleep night please ize far few wildland fire past century large increase woody biomass north america set see ok one volcano emit enough carbon make hybrid vehicle look like joke,real
certainly convert lot carbon base fuel fast possible oil use make everything today even skin sausage hot dog,real
hear,real
cyclops put hot dog step away child study change plant community composition wild fire effect recovery precipitation pattern past year ecotone great basin mojave desert north america number scientist climate model predict great change regard climate atmospheric etc ya know ain't nothin major go change happen pinion juniper expansion increase wildfire size intensity even joshua tree move northward much attribute mankind's action unmanaged graze year ago wildfire suppression past year spread invasive specie annual grass etc none attribute fit happen past million year warm vegetation see grow southern end basin use grow around las vegas thousand foot low elevation well mojave desert precipitation change little past year data show slight increase scientist model predict dry crack everyone tight fail look nitrogen emission deposition nitrogen attribute increase annual grass production increase wildfire frequency intensity reduce woody biomass emit oh darn observation model scientist say correct matter late inertia carry change far future matter today say work end humans track record environmental cause effort increase intensify problem human set stop wildfire make bad human set save spot owl well hybridize anyways human set protect feral wild horse cause suffer govt start enact strict control carbon emission sound insane mind economy crumble ly take money away redistrubuting wealth stop commerce people food shelter turn environment provide natural resource primarily plant communties wildlife habitat destroy ecosystems fall dysfunction climate change become memory let plunder ecosystems begin today want fix problem go cut tree turn durable good keep carbon emit reset plant community sequester carbon well hurry predict bo forest america enough sequestered carbon start burn enter positive feed back loop change climate cause large fire accord one far fetch yet acredited article shortage see anyone research desire outcome mind design study say whatever want easy lie misuse statistic science reason naysayer observation thread survey well medium implant idea beliefs population order achieve agende care people predict end world long earth great place work matter human al gore business man first politician second care investment,real
number different article well research historical fire regime observation check work charles kay usu researcher also check work pinion juniper ecosystems richard miller robin taushe et al,real
"perhaps basic thru many debate run government lack trust populus general government yet ultimately fund various scientific study relate climate change global warming people go turn to,place faith trust control issue hand i'm one give credence various conspiracy theory benefit proven mankind responsible global warming stand make money newly create regulation tax kickback company dont want toe line etc ultimately gain control live global warming",real
scientist publishes research result criticize peer i'm much impressed honesty fellow scientist honesty administrator businessmen politician little topic step toward energy efficiency method make waste heat second law useful,real
problem science malicious use science example caught minute episode talk climate society problem reporter stand base glacier say look glacier melt move right greenhouse gas etc meanwhile think shizzle melt glacier bother look rate growth side glacier bother point glacier move south take one tiny scientific observation inflate link likely inflated miscontextual observation extrapolate societal value hold word god aka governmment medium complex,real
good point vp,real
correct say fire suppression rather wildfire suppression wildfire result beneficial fire allow metric forest service operate long beneficial fire would move rapidly burn ground fuel without destroy tree stimulate new growth wildfire fact mostly manmade phenomenon without beneficial fire forest also become extremely dense sapling small tree would burn,real
ok epidemic endemic smilies rolleyes gif roll eye sarcastic,real
read interesting stuff borer beetle seem affect area area clear cut silver mining era use wood even pull stump fire smelter area grow back almost monoculture lodgepole pine almost age along lack beneficial fire allow extreme density recipe outcome occur colorado current thought wont spread surround area affect area self correct result clear cut expectation mixed forest return also want widespread chemical spray keep borer spread course get streams think often case trouble forest directly trace back action man,real
man bussiness man exact big threat life universe,real
quick point i'll spare mathematical calculation little year weather data easy math round year divide earth roughly founr half billion year old get well tiny number point comparison human life span take year year equivalent judging entire life less time take sneeze alien come take picture mid sneeze take back mother ship say look funny creature walk around constantly sort facial seisure obviously accurate depiction normal state last thing i'll say feel free ask climate scientist get touch control group compare weather data earth ever baseline compare anything earth define swarm incredibly complicate dynamic system never ever stable reliable data say exactly nothing compare cent,real
excellent point somehow lot people get mind environment suppose stuff year year look back time use fossil data pack rat middens sediment pollen record see earth continually change change rapidly year ago completely different climate regime completely different plant community ecoregions planet long fossil fuel use man bunch chicken littles run around pecker fire scream sky fall another point want make people also fixate global mean temperature almost meaningless thing watch climate extremes timing temperature impact life climate expert speak say call drought wet year whatever today actually consider norm can't wait see money grabber devise schemes stop climate change ability,real
crypto hog pen thank two voice sanity indeed baseline define planet's normal temperature atmospheric level justification call pollutant except edict pure fiat,real
thats right keep sweep rug vp,real
fact considerable know earth's climate throughout history include concentration i've post information several time elsewhere true say know much detail word meteorology coin fitzroy captain famous beagle link cover past climate much,real
thanks amaze someone teach science degree envor sci figure mercy grant funding here's another way look political perspective climate change natural one charge thing like there's rain tax sunlight subsidy however make appear could fault taxed i'm probably way government always look best interest would never abuse power suck money,real
mean temp compare paleoclimate model show recall correctly average rise temperature degree hear error instrumentation alone times great percent temperature increase sweep rug,real
ha yeh thermometer's error combine error model method extrapolate paleo temp combine subjective interpretation oh must act bring global mean temperature back degree say recalibrate thermometer,real
,real
challenge someone accurately measure temperature entire house accuracy degree model much less entire world heck scientist can't measure body temp kind accuracy without medical implantation even questionable,real
statistic allow one make precise measurement enough data shawn,real
dont know sound like different way say statistic lie liar use statistic,real
sensible fact vp,real
i've see do told statistic class instructor hold stick asks student write estimate long stick large enough arithmetic average estimate close close depends large,real
ask everyone planet many fish ocean statistically completely meaningless number statistic teacher prove nothing fact average person guess length stick fairly accurately actually that's perfect example statistic abuse prove something actually prove,real
could see integer length stick foot much,real
fossil sediment tree ring carbon date ice core minimum give climate data go much early year ago,real
bad example cant see fish base answer vp,real
great job pick point example work understanding,real
fast example student could make educated guess length stick quite different crystal ball fish example vp,real
exactly reason chose example,real
point vp,real
venezuela question many specie fish venezuelan fresh water ask venezuelan ichthyologist say impossible estimate ex student look family count name specie specie know name reasonable guess many discover can't remember estimate large number way estimate population size business estimate excellent book consider spherical cow simple way lincoln index population contain mass die offs learn trap avoidance mark affect survival thing get good estimate suppose catch individual mark release later come back catch another mark give estimate total population size,real
feel free live cave rest technological world deeply reliant statistic shawn,real
look foot estimate long look lake guess many fish analogy wonderful example anti science denialist mentality make completely ridiculous comparison wave hand amply rather address data thanks shawn,real
exponent vp,real
saltyzoo make unfounded assumption assume distribution student estimate leptokurtic small standard deviation word estimate close correct answer may case doubt although know differently enough student involve scatter could large result would close accurate student random sample standard error small student involve,real
welcome feel,real
take cuyahoga please yuck yuck nobody take measurement statistic catch fire three different time recall akron problem forget fancy pant book wormy sciencey stuff take come guess,real
heteroskedasticity error scatter place average around mean damn thing iirc,real
exactly right give idea work range draw organizable data however give exact data point point,real
sure right answer right rong smug,real
i've never able figure problem denial non fact,real
denial actual fact think could problem,real
denial exactly fact,real
actually come wildfire simply fire wildlands undeveloped land forest desert etc may arson lighten ecosystems low severity fire naturally take overstory pinion juniper example correct fire suppression lead increase fuel loading lose understory specie higher fire severity intensity,real
man make global warming,real
thing say earth's climate never stable time change rapidly say sure,real
global warming might release water currently lock ice cause ocean level rise cause population distribute cause estate value de stabilization submerge hampton beverly hill new york city florida misery must avoid cost,real
label put anti science believe sciientific process rely medium think science work people skeptical willing question everything enter debate hopefully arrive truth ostrich refuse believe fashionable may actually false fly country go east go west fall earth remember fashionable believe earth flat year ago,real
indeed good understanding climate change rapidly past mystery event,real
obviously jimbo slack need lot pee ocean,real
oh reaalllyy like use word btw could please tell climate change past rapidly since ackowledged fact earth history know experience anthropogenic,real
google paleoclimate find lot information one correspondence concentration temperature ice core,real
dispute correlation temp however debate within scientific community causality think anyone say screw earth let's want simply see aspect establish science regard matter anyone even faint scientific background quickly acknowlegd science deal absolutes always room speculation criticism research question skepticism also add although agree climate change primarily anthropogenic reasonable scientific assumption link industrialization planet possible agitator natural change earth's equillibrium i'll also say cannot destroy planet may well make uninhabitable specie even likely overpopulate earth set right specie ever able best earth correct need,real
yeh think state number time earth's climate change continually since start spin constant state flux go claim current change result man solely concert natural cause well something back claim need ice core show thing change show sea shell mountain peak paleoendemic plant communties longer regenerate mammoth remain desert,real
